HMDB	Compound.Name	Pipe.ID	Tau.Method	Z.Transformation	HAKN.Adjustment	N.Datasets	N.Healthy.Datasets	N.Disease.Datasets	Overall.Predictability.rho	Overall.Lower.Predictability.rho	Overall.Upper.Predictability.rho	Overall.Pval.rho	Overall.Lower.pred.interval	Overall.Upper.pred.interval	Overall.Q	Overall.Pval.Q	Overall.I2	Overall.Lower.I2	Overall.Upper.I2	Healthy.rho	Healthy.rho.lower.ci	Healthy.rho.upper.ci	Healthy.Pval	Healthy.I2	Disease.rho	Disease.rho.lower.ci	Disease.rho.upper.ci	Disease.Pval	Disease.I2	Between.Subgroups.Q	Between.Subgroups.Pval	Overall.FDR.rho	Healthy.FDR	Disease.FDR	Between.Subgroups.FDR
HMDB0000190	L-Lactic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	15	8	7	0.199063133214708	0.08678449703476	0.30634813615038	0.000569030195698051	-0.225433538549355	0.628947221115814	54.7434745193947	0.000000958182269799568	0.744261756804639	0.575234857548927	0.846027739811105	0.158801292110218	-0.015	0.323	0.0732921600192396	0.75	0.238387456898895	0.083	0.382	0.00280252595592584	0.76	0.470437433307185	0.492785997590454	0.000948383659496751	0.09320390291464	0.00533590535918751	0.971071157456726
HMDB0000452	L-alpha-Aminobutyric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.287290399485019	0.179882487491867	0.387928732227364	0.000000351440563976932	-0.0506426928083553	0.641863470534106	23.3923956862197	0.00537268230117316	0.61525958603283	0.233638444904373	0.80684680076213	0.275917891892672	0.085	0.447	0.00511616989951776	0.69	0.292873882248455	0.15	0.424	0.000085414268861333	0.61	0.0210950019299679	0.884520449441596	0.00000101732794835428	0.0100341171873134	0.000234889239368666	0.982800499379551
HMDB0000691	Malonic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.345021081000725	0.177235375682308	0.493317147002686	0.0000948662172598885	-0.247609135460096	0.967171050596312	40.5328356142914	0.000000995154303103368	0.827300510958284	0.673247673905024	0.908722567114639	0.353882532167727	0.081	0.577	0.0120185231301278	0.81	0.332439303172114	0.072	0.551	0.0133996437319832	0.88	0.0143356193740132	0.904695888530749	0.000179918687906685	0.021152600709025	0.0216758942723258	0.987284406661093
HMDB0000008	2-Hydroxybutyric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	4	4	0.339557675828699	0.222149566322873	0.447259185623504	0.0000000569856983353493	-0.0527195832692872	0.759904530373493	24.7848346822614	0.00082839386740698	0.717569227725778	0.418951861801826	0.8627185324528	0.254968495445727	0.005	0.475	0.0456319182052903	0.83	0.423323318137173	0.348	0.493	0.0000000000000000000000176254479413924	0.08	1.9142039151376	0.166497027765379	0.000000205522190717653	0.0623541739451172	0.000000000000000000000387759854710633	0.971071157456726
HMDB0000187	L-Serine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.237172336607429	0.0983847068268073	0.366909858617353	0.000925896461869545	-0.257473194313671	0.74102473653809	46.1897912062188	0.00000132503017100037	0.783501944069112	0.616798609635806	0.877684660336677	0.202995806414369	-0.034	0.418	0.0922489939703721	0.83	0.299350089121765	0.177	0.412	0.0000030011015514117	0.48	0.548580053996017	0.458898464378247	0.00139518644939247	0.115970163848468	0.0000115831989703609	0.971071157456726
HMDB0000139	Glyceric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.221274368112478	0.0787962489914125	0.354893573917299	0.00253029251104549	-0.252418933313292	0.702410311593933	30.6323090856635	0.000163322180800225	0.738837840215443	0.491923533874305	0.865757069554053	0.289740349422131	0.046	0.501	0.020548514728212	0.81	0.144806955718226	0.021	0.264	0.0222895232901426	0.34	1.12512165540184	0.28881829583167	0.00356836123352569	0.0322905231443332	0.0350263937416527	0.971071157456726
HMDB0000300	Uracil	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.252183432643966	0.145672899615609	0.352915106381365	0.00000536536319156364	-0.109293108250139	0.624779443781806	32.3140161388177	0.00123744387206674	0.628644116891901	0.324276440759973	0.795914779005049	0.282005054949489	0.123	0.427	0.00061388286304775	0.64	0.219654231186657	0.058	0.37	0.00796557520923879	0.68	0.311132267075772	0.576986210794411	0.0000126922570123011	0.0017314644855193	0.0134802042002503	0.971071157456726
HMDB0000162	L-Proline	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	14	8	6	0.138051650482312	-0.00445302157104061	0.275060823554464	0.0575517129079287	-0.418771591631155	0.696649242839101	80.5422738778595	0.00000000000872241609761552	0.83859407769249	0.743109322146982	0.898587710641474	0.225072972888563	0.03	0.404	0.0244076537367019	0.82	0.0255974114581921	-0.173	0.222	0.802530950558718	0.84	1.98556173827598	0.15880571329998	0.0659446710403349	0.036792980029989	0.820386136576757	0.971071157456726
HMDB0000019	alpha-Ketoisovaleric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.161585301985604	-0.0461684052143701	0.355940202066729	0.126725461432436	-0.54501046278693	0.871038609086368	27.9189973884505	0.0000377501464155855	0.82091047431136	0.619464454071355	0.915715999321135	0.127047886252668	-0.262	0.481	0.527746291076689	0.83	0.182305311172928	-0.111	0.446	0.221665244235504	0.87	0.0503563238034506	0.822444399832392	0.13870448514993	0.558193192484959	0.25666501964111	0.971071157456726
HMDB0000535	Caproic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	5	5	0.337372551384488	0.239014046151259	0.428878110563776	0.000000000147485759531559	0.019327924039831	0.682921346878256	24.3770609872137	0.00374335190757697	0.630800447817696	0.269046747283655	0.81351979921415	0.323519023824964	0.172	0.46	0.0000507130414242074	0.58	0.348013788070557	0.2	0.48	0.00000856916688417839	0.73	0.0563945659264993	0.812288000856147	0.000000000791387002364465	0.000210506964402371	0.0000304067212019233	0.971071157456726
HMDB0000883	L-Valine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	16	9	7	0.282450432222993	0.139925938010701	0.413508380453408	0.000140882744174844	-0.324084027738334	0.904769925440206	106.172417796531	0.000000000000000872338804482682	0.858720369081676	0.785511217283769	0.906941827634758	0.222223561252449	-0.006	0.428	0.0557218733207278	0.87	0.356423026064285	0.189	0.504	0.0000566801247084242	0.81	0.956542020156337	0.328059653771847	0.000260455493432485	0.0742958310943037	0.000164074045208596	0.971071157456726
HMDB0000254	Succinic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	15	8	7	0.276797911412824	0.164612740960349	0.381913197691887	0.00000239066342065231	-0.159743758382401	0.728165652224529	58.0865994593888	0.000000253321285226573	0.758980554374024	0.6027911163166	0.853753590223942	0.217452936434665	0.036	0.385	0.0193822917729458	0.78	0.34289148473171	0.215	0.459	0.000000492556579415587	0.68	1.33033127039355	0.24874629299555	0.00000611565061097101	0.0308993057249861	0.00000230558398875381	0.971071157456726
HMDB0000167	L-Threonine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.273258075415042	0.168404614393841	0.37199681474386	0.000000637071978761929	-0.105281659999097	0.666044540412716	41.4233896842502	0.0000416245172744661	0.710308593973839	0.490861580523898	0.835170343633136	0.264033080949097	0.103	0.411	0.00146667357596319	0.72	0.287784772555172	0.144	0.42	0.000123262570359683	0.71	0.0501685131659009	0.822770307375576	0.0000017519479415953	0.0035072628990424	0.000326720066013619	0.971071157456726
HMDB0011718	4-Hydroxybenzaldehyde	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.152131515541249	0.0221400861660319	0.277064573355157	0.0219739037432808	-0.210094533524978	0.516737996378275	12.4631796901292	0.0523984757686836	0.518581922978133	0	0.795234891949318	0.0721425321500873	-0.13	0.269	0.485644294148388	0.58	0.253462727761081	0.139	0.362	0.0000214040761754464	0	2.4142124536512	0.120238425791322	0.0267086122846507	0.520139513696962	0.0000683410611864064	0.971071157456726
HMDB0000262	Thymine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.239067997307995	0.132445080743005	0.340221486315998	0.0000154744328296994	-0.142856136622321	0.630426896246398	41.577766731521	0.0000392156267974762	0.711384209799259	0.493017628501833	0.835696310096456	0.267813434065393	0.082	0.436	0.00515388746439279	0.79	0.220281170572841	0.093	0.34	0.000752873846354395	0.61	0.181939454858236	0.669711774526289	0.0000330521866265424	0.0100341171873134	0.00163992322968284	0.971071157456726
HMDB0000766	N-Acetyl-L-alanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.387642154626755	0.324988539187473	0.446907889921071	0.0000000000000000000000000000610833470403833	0.322389104418415	0.495655363443713	7.63188992278562	0.470228190571492	0	0	0.631003930879978	0.361432832846572	0.253	0.461	0.000000000540285307835377	0.18	0.407113311990611	0.323	0.485	0.00000000000000000375325774110916	0	0.464020016670531	0.495751181602236	0.00000000000000000000000000111986136240703	0.00000000566013179637062	0.000000000000000058979764503144	0.971071157456726
HMDB0000168	L-Asparagine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.24293689429103	0.158783540418558	0.323585857402989	0.000000030839074455499	-0.0230680404652115	0.518853748959682	26.0542187469768	0.0105458684215948	0.539421998543233	0.137654685110766	0.754005626559057	0.167992209465977	0.07	0.263	0.00083153930337366	0.24	0.324590435970659	0.219	0.423	0.00000000843954732403906	0.49	4.66205670633606	0.0308362331792807	0.000000116975799658789	0.00225850181163216	0.0000000488605371391735	0.971071157456726
HMDB0000191	L-Aspartic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.168534699832837	0.0356574119761793	0.295556506043928	0.0131438486706165	-0.330349291591655	0.670665575025039	62.2309209338945	0.00000000882237548725669	0.807169814942203	0.679779918181556	0.883881485326375	0.273190150733368	0.141	0.396	0.0000716577736327081	0.6	0.0299449221149209	-0.205	0.262	0.805470025002634	0.89	3.16921103260377	0.0750386869359452	0.0163369870482239	0.000271805348261996	0.820386136576757	0.971071157456726
HMDB0000156	Malic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.240199110313937	0.120430593898278	0.353075459578818	0.000107373737593407	-0.206101994985577	0.696072801827503	52.6127490088617	0.000000482689752617638	0.771918399512278	0.612362422740544	0.865799345747583	0.198576323391221	0.027	0.359	0.0234268061233252	0.75	0.28950379565852	0.135	0.431	0.00032495131170453	0.75	0.634549043143286	0.425691588275241	0.000201899335645723	0.0360412401897311	0.000794325428611072	0.971071157456726
HMDB0000034	Adenine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.182624650112324	0.0722034128654667	0.288623324911138	0.00127492086333221	-0.196365111626195	0.565758224849978	36.972539877959	0.000116459021269828	0.702481895041309	0.462444029619276	0.835334313717103	0.171576939543033	-0.017	0.348	0.0737233908727463	0.75	0.202053764977678	0.065	0.331	0.00399635742694871	0.66	0.0689978950400486	0.792801469761537	0.00189515263468302	0.0932134827126677	0.00726610441263403	0.971071157456726
HMDB0000613	Erythronic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	5	4	0.32287874314699	0.201852346980148	0.43419302153347	0.000000463159592858079	-0.0727373858384185	0.742452526840067	24.2613881246565	0.00207150945302186	0.670257944067523	0.333942754161089	0.836756038418846	0.294788931347938	0.134	0.44	0.000426038627562789	0.58	0.349158365190617	0.151	0.52	0.000746788854124942	0.77	0.192591342779748	0.660768560175661	0.0000012898115244149	0.00126660132518667	0.00163992322968284	0.971071157456726
HMDB0000157	Hypoxanthine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	15	8	7	0.295372081558303	0.205459512427278	0.380340163222318	0.000000000514685663570213	-0.0258604901215267	0.634743856422963	37.9574525336193	0.000527500986681905	0.63116597491362	0.356949768296056	0.788448038186772	0.307661693791499	0.163	0.44	0.0000501941561107252	0.68	0.286543856725379	0.163	0.401	0.00000911669839059934	0.63	0.0507940265460864	0.82168732392142	0.00000000246154013011841	0.000210506964402371	0.000031836089617966	0.971071157456726
HMDB0000209	Phenylacetic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	6	4	0.300726666089411	0.142932918578444	0.443611535708047	0.000257055643554501	-0.273316366287827	0.893953026047893	49.4046179732723	0.000000139367660030507	0.817830794585458	0.676673815502936	0.897361794396622	0.278405928828827	0.038	0.489	0.0239976486719365	0.84	0.332443994219093	0.096	0.534	0.00663483649155086	0.83	0.110202583718853	0.739913614931654	0.000445293240803073	0.036663074359903	0.0114934175444188	0.971071157456726
HMDB0000482	Caprylic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	5	3	0.00551888857213745	-0.161044400639777	0.171776505762142	0.948655659341116	-0.556324949340329	0.567362838550006	35.7207673900931	0.00000818382505517103	0.804035564982252	0.621198856745247	0.898622112219975	-0.124471632918876	-0.319	0.08	0.233060995701324	0.74	0.19126732221596	0.024	0.348	0.0253448393686049	0.62	5.49021183831317	0.0191232258422504	0.952987420342673	0.267049057574434	0.0385982392921294	0.971071157456726
HMDB0000208	Oxoglutaric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	8	5	3	0.162776223669348	-0.0342291633885784	0.347604880675051	0.104841277568476	-0.5173051669879	0.845779497992601	46.092055361375	0.0000000838869799344788	0.848130009713865	0.718781142024812	0.917983828980823	0.134001475233167	-0.134	0.384	0.327979747841284	0.82	0.203035550032495	-0.149	0.51	0.257471687749593	0.91	0.0970714754190221	0.755372690766664	0.117894764946935	0.371935796521044	0.296564247669688	0.971071157456726
HMDB0000641	L-Glutamine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.229083874898335	0.123655990537358	0.329397852469047	0.0000271274220413879	-0.145459949609605	0.611904722817933	40.3333687604436	0.0000632971934984719	0.70247960017243	0.475134987696393	0.831350182925979	0.221749419328849	0.044	0.386	0.0150389706848149	0.77	0.253602309979025	0.133	0.367	0.0000521206964341691	0.58	0.0897125607167109	0.764542893611374	0.0000552595634176421	0.0256478569818548	0.000152887376206896	0.971071157456726
HMDB0000148	L-Glutamic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	14	8	6	0.275485261767835	0.186153203953614	0.360299964999915	0.00000000438823079673694	-0.034151240882457	0.599731119351793	34.1471145503462	0.00114314881890426	0.619294333615424	0.32011695116752	0.786820976539693	0.334369424139048	0.212	0.446	0.000000247642071830395	0.6	0.205109215322674	0.075	0.328	0.00213016013397447	0.62	2.13665784943756	0.143814907524911	0.0000000193082155056425	0.00000155660730864819	0.00418424312030699	0.971071157456726
HMDB0059655	2-Hydroxyglutarate	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.0739379792264709	-0.0175006995338233	0.164150141661595	0.112883675779642	-0.204513353749563	0.352659670208977	24.4552809346187	0.0109445174314617	0.550199401535867	0.138837464912559	0.765061100390126	0.148756378154409	-0.002	0.293	0.0533653416623862	0.61	0.0171272293878989	-0.087	0.121	0.746958546915712	0.4	1.99409693725029	0.157913166986108	0.125426306421825	0.0715876534495424	0.767901309913349	0.971071157456726
HMDB0000696	L-Methionine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.28262246297838	0.167485814392916	0.390153445470368	0.00000275164040005139	-0.148601547697935	0.729661354929611	50.4365953673135	0.00000117074717397895	0.762077517076483	0.593248478947521	0.860831232458531	0.284651895745291	0.067	0.476	0.0109204373488916	0.85	0.30810462879545	0.218	0.393	0.0000000000949466988861999	0.31	0.0422542782195418	0.837135832906906	0.00000695817112656674	0.0195215289421666	0.000000000897926559720091	0.97131239689987
HMDB0000098	D-Xylose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	10	6	4	0.323963389190783	0.20668669387309	0.432062788536549	0.000000186113520117431	-0.0709418317303172	0.743079683598091	28.1871322298976	0.000887547977973732	0.680705368442773	0.381617656542594	0.835135878603416	0.295984156873175	0.112	0.46	0.00190503248988962	0.73	0.374696992610667	0.243	0.493	0.000000131320058560706	0.51	0.517357542148774	0.471971061072537	0.000000593405426461373	0.0042766035487318	0.00000065660029280353	0.971071157456726
HMDB0000764	Hydrocinnamic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.348675628212201	0.277400275824323	0.416133983163062	0.000000000000000000186539368851891	0.152267402656417	0.575603186055722	18.4000109283133	0.0727511044363165	0.402174268110159	0	0.697004987581735	0.326139571270884	0.242	0.405	0.000000000000453090746091254	0.01	0.364233115761296	0.249	0.469	0.00000000392913892303238	0.59	0.292728179371359	0.588477529737604	0.00000000000000000215992953407452	0.0000000000099679964140076	0.0000000240114045296423	0.971071157456726
HMDB0000132	Guanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.213971639497962	0.0992174892805198	0.323109084432243	0.000298713959214949	-0.189387926006084	0.62404766230641	40.7206038870283	0.0000269192229840829	0.729866481584668	0.518727322092323	0.848376770340067	0.138215647640349	0.042	0.231	0.00478895050124712	0.1	0.272195300313532	0.085	0.441	0.00485528064925912	0.83	1.60147296721797	0.205694594667611	0.000505515930979145	0.00966577165389328	0.00868424181168298	0.971071157456726
HMDB0000292	Xanthine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	11	6	5	0.299461171068034	0.168895670685213	0.419698077012898	0.0000121448035376643	-0.164192129704239	0.782047308887308	38.6341733700442	0.0000294190268074355	0.741161797245707	0.529409205516224	0.857631691927662	0.342571743888641	0.124	0.529	0.0025723538647578	0.81	0.260105451798479	0.089	0.416	0.00312112010045505	0.69	0.372287141287754	0.54176021207268	0.0000272638446763893	0.0056031470321457	0.00581903747542467	0.971071157456726
HMDB0000177	L-Histidine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.259707495141572	0.163805510836866	0.350746562985266	0.000000217690960868457	-0.0710434729678774	0.602632914317522	34.2196392134629	0.000622781017402913	0.649324181206478	0.366944573124826	0.805746030022179	0.205489321153946	0.072	0.332	0.00268970624335002	0.58	0.318523505345843	0.191	0.435	0.0000021901635109823	0.64	1.52588705084319	0.21673077615251	0.000000665166824875841	0.00575816513107947	0.00000909124476256804	0.971071157456726
HMDB0000226	Orotic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	9	4	5	0.217543596376029	0.0941288640089183	0.334373382743644	0.000624445205091854	-0.162295317335029	0.604447773118761	21.3255911029957	0.00633101450455248	0.624863856698621	0.226967185993016	0.817954524748336	0.269256085238052	0.024	0.484	0.031708395349055	0.74	0.193009498879022	0.041	0.336	0.0128414890914136	0.59	0.286341091337228	0.592574842564377	0.00101411176750821	0.046197662097961	0.0210830417918731	0.971071157456726
HMDB0000555	3-Methyladipic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.550836270330366	0.473776775399999	0.619524512480891	0.00000000000000000000000000000039436895482216	0.357691459560997	0.881470658779356	9.85095790580301	0.131070455125805	0.390922176566655	0	0.743817989802088	0.523038056370449	0.356	0.657	0.0000000430384117715515	0.61	0.569123346030224	0.496	0.634	0.0000000000000000000000000000000000511203766891189	0	0.309097580337869	0.57823447469402	0.00000000000000000000000000000867611700608752	0.000000350683355175605	0.00000000000000000000000000000000281162071790154	0.971071157456726
HMDB0000174	L-Fucose	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.0870289088203376	-0.0430478105684957	0.214204292092085	0.189465859176814	-0.291999763742521	0.466499029016439	14.6279326475317	0.0233565829793756	0.58982583905919	0.0547857684866671	0.822005597573226	0.106060644088897	-0.02	0.229	0.0990887913348601	0	0.066778216964328	-0.192	0.317	0.615510239147195	0.84	0.0715479188320814	0.789096202742694	0.203329214726337	0.123860989168575	0.641764230390441	0.971071157456726
HMDB0000159	L-Phenylalanine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	14	8	6	0.342594681501965	0.232964185593648	0.443626675727204	0.00000000504731813274904	-0.0873140280882284	0.801372626844597	55.5006264313136	0.00000033001496353698	0.765768409549602	0.608413616202434	0.85989186489874	0.32298751857942	0.159	0.469	0.000166617443552522	0.77	0.36909746974969	0.216	0.505	0.0000065469969706383	0.77	0.179442810251199	0.671852518459979	0.0000000217727448863684	0.000572747462211796	0.0000244125310769564	0.971071157456726
HMDB0000289	Uric acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.232462705442628	0.144110708191596	0.317137800525437	0.000000413289364861725	-0.0422818077358042	0.515864383381121	24.505441281942	0.0107626812432525	0.551120101309669	0.140827568517793	0.765479947836973	0.310115807327579	0.162	0.444	0.0000630946336266574	0.64	0.177113682607947	0.075	0.276	0.000748593492384073	0.4	2.17138596264911	0.140599468099178	0.0000011656879521741	0.000245519160541589	0.00163992322968284	0.971071157456726
HMDB0003070	Shikimic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.0835037964695125	-0.0804482820509939	0.243056448523291	0.318120417888293	-0.445450771097698	0.612848171047389	19.6384664503511	0.00146073548860289	0.745397635164602	0.421520806922858	0.887943481882273	0.0614995654709811	-0.232	0.345	0.685348844120755	0.72	0.10028889458443	-0.129	0.319	0.391312767330133	0.82	0.0413516237364842	0.838860706413524	0.330124961959549	0.707872045570733	0.42796681168213	0.97131239689987
HMDB0000893	Suberic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.50925768245357	0.419594517047289	0.589078858942474	0.000000000000000000000703784347549939	0.251669358075738	0.871784671315348	11.6953816944229	0.0691198621929826	0.486976983157278	0	0.783071061457631	0.524308594858523	0.363	0.655	0.0000000164348683383402	0.59	0.489789513576258	0.373	0.591	0.00000000000029142357689977	0.47	0.134811464377844	0.71349459678406	0.00000000000000000000860180869227703	0.000000150652959768119	0.00000000000356184371766385	0.971071157456726
HMDB0000517	L-Arginine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	14	8	6	0.342145997181718	0.247150471765032	0.430627240761594	0.0000000000195232422060457	-0.0104808507508162	0.723522926620712	41.6802292246773	0.00007385708337579	0.688101523388379	0.457840821304338	0.820568084917994	0.332914967864421	0.161	0.486	0.000229879225297031	0.79	0.360011189942561	0.273	0.441	0.0000000000000244516522403845	0.31	0.0841428760464774	0.771759691233581	0.000000000126326861333237	0.000754827306945474	0.000000000000336210218305286	0.971071157456726
HMDB0000904	Citrulline	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	13	7	6	0.241659914787421	0.104328400790229	0.369948168299654	0.000656842535372255	-0.28801366400034	0.781086122121677	69.4397146760865	0.0000000004076774665215	0.827188230021162	0.717259173967061	0.894377093459649	0.252254555998652	0.039	0.444	0.0210822465392898	0.84	0.235701561501798	0.045	0.41	0.0161129893709349	0.83	0.0137935753582304	0.90650659157064	0.0010547836334445	0.0328942853804521	0.0255025731050768	0.987284406661093
HMDB0000158	L-Tyrosine	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	16	9	7	0.32539607796869	0.230953789688815	0.413763896127115	0.000000000105775497443189	-0.0387797236764926	0.714120607723277	48.5672541422387	0.0000205917953395798	0.691149926737271	0.48304540903324	0.815480180617012	0.30391594905654	0.144	0.448	0.000268910048802717	0.76	0.35808711950396	0.251	0.456	0.000000000445260423697176	0.55	0.335896167215718	0.562207664999099	0.000000000596682293269272	0.000870003099067614	0.00000000337783769701306	0.971071157456726
HMDB0000118	Homovanillic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	6	3	3	0.181026155743302	-0.00749244080534146	0.357118599342872	0.0597151494116713	-0.43278347485367	0.798870290772611	19.4268734354218	0.00160008616344541	0.742624565058251	0.414033980143977	0.886952293705136	0.21626353638773	-0.116	0.505	0.200146957078624	0.78	0.133336443235371	-0.157	0.402	0.368476519234495	0.8	0.141822787505706	0.706475597347875	0.0680690822309207	0.231749108196301	0.405324171157945	0.971071157456726
HMDB0000247	Sorbitol	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	7	4	3	0.139128010394802	-0.0548863003600165	0.323018896986589	0.159226281521921	-0.51405546457648	0.794127993157312	34.0569606584204	0.00000655914655945414	0.823824560853273	0.648979811148034	0.911578346931973	0.0233117967785129	-0.203	0.247	0.841812443436397	0.68	0.262267851631494	-0.03	0.513	0.0775472262596544	0.88	1.63433271518398	0.201104819005364	0.172560502141984	0.857401562759293	0.103396301679539	0.971071157456726
HMDB0000017	4-Pyridoxic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.173227166176588	0.0955457709556959	0.248811427884881	0.0000147050410568255	-0.0371356416428994	0.3871191638439	18.4358837079876	0.072002204876307	0.403337525109572	0	0.697554100349367	0.163412941355528	0.074	0.25	0.000376985069573491	0	0.18530244904464	0.048	0.315	0.00821141204706219	0.65	0.0709844909070811	0.789908719353087	0.0000317167552206041	0.00113611938775573	0.0137901576362876	0.971071157456726
HMDB0001138	N-Acetyl-L-glutamic acid	Trans'=RELATIVE~Model=RF~Tuning=FALSE~Shuff'=FALSE	DL	ZCOR	FALSE	12	6	6	0.434896079179044	0.333812633243532	0.526091289905602	0.000000000000015140182054874	0.0575649951501119	0.874273066840858	40.0639937058822	0.0000348846501685613	0.725439253990673	0.509681898703501	0.846255720419318	0.476503314907627	0.351	0.585	0.0000000000215945303280518	0.58	0.39910645066993	0.234	0.542	0.00000691021836280206	0.81	0.6197073737335	0.431156048481376	0.000000000000133233602082891	0.000000000263933148453967	0.0000249220990133845	0.971071157456726
